total_votes,weighted_average_vote,imdb_title_id,allgenders_18age_avg_vote,allgenders_30age_avg_vote,allgenders_45age_avg_vote,males_allages_avg_vote,females_allages_avg_vote,us_voters_votes,non_us_voters_votes
248,3.1,tt0100550,1.9,3.1,3.3,3.1,2.9,73.0,121.0
2294,7.3,tt0100557,7.2,7.2,7.4,7.3,7.3,685.0,975.0
592,7.1,tt0100563,7.2,7.4,6.1,7.1,7.2,115.0,343.0
1998,6.2,tt0100581,6.5,6.2,6.2,6.2,6.1,357.0,1087.0
865,5.2,tt0100586,5.1,5.2,5.2,5.2,5.5,274.0,348.0
535,7.7,tt0100587,8.0,7.9,6.5,7.7,6.6,57.0,282.0
143,4.4,tt0100588,3.2,5.0,4.5,4.5,4.2,67.0,33.0
1528,5.1,tt0100589,5.1,5.2,5.1,5.1,5.5,422.0,631.0
10658,6.8,tt0100594,6.9,6.8,6.8,6.7,7.0,1515.0,6131.0
173,5.8,tt0100595,6.3,6.0,5.5,5.9,5.0,21.0,114.0
528,6.0,tt0100600,6.2,5.9,5.9,6.0,6.0,79.0,309.0
3806,6.7,tt0100602,6.6,6.6,6.8,6.7,6.8,1130.0,1702.0
1965,6.4,tt0100604,7.0,6.4,6.3,6.4,6.8,768.0,648.0
471,6.7,tt0100605,7.0,6.7,6.6,6.7,7.0,69.0,297.0
664,5.2,tt0100606,4.7,5.1,5.2,5.2,5.1,181.0,313.0
1121,5.7,tt0100608,6.4,5.8,5.6,5.7,6.2,580.0,189.0
2327,5.4,tt0100611,5.6,5.4,5.5,5.3,6.0,693.0,967.0
1729,5.6,tt0100613,7.0,5.6,5.3,5.4,6.5,860.0,362.0
119,5.8,tt0100619,6.5,5.3,6.2,5.8,6.6,15.0,68.0
102,6.7,tt0100621,7.5,6.8,4.8,6.5,7.1,4.0,64.0
1952,6.6,tt0100623,6.7,6.6,6.3,6.6,6.8,354.0,1099.0
2923,7.0,tt0100625,7.0,7.0,6.8,7.0,6.9,325.0,1780.0
3130,5.3,tt0100631,7.2,5.3,4.6,5.0,7.2,1943.0,642.0
441,2.9,tt0100632,3.5,2.9,2.6,2.9,1.7,138.0,219.0
690,4.7,tt0100633,3.4,4.5,4.9,4.6,4.9,198.0,303.0
477,4.6,tt0100637,4.3,4.5,4.6,4.5,4.6,181.0,182.0
2187,4.7,tt0100639,4.7,4.7,4.5,4.6,4.9,906.0,741.0
839,4.4,tt0100645,4.8,4.6,3.8,4.4,3.8,265.0,360.0
1604,4.0,tt0100649,4.0,3.9,4.1,4.1,4.1,507.0,658.0
613,6.9,tt0100650,6.7,7.2,6.7,6.8,7.7,69.0,390.0
641,5.7,tt0100661,5.3,6.0,5.4,5.6,6.3,266.0,226.0
148,3.3,tt0100662,6.5,3.2,3.3,3.3,3.2,49.0,58.0
1788,4.9,tt0100663,4.3,5.0,4.6,4.8,4.6,834.0,531.0
3466,2.3,tt0100665,2.1,2.3,2.7,2.3,2.7,1749.0,811.0
3125,5.3,tt0100666,5.2,5.3,5.2,5.2,6.1,1473.0,820.0
290,6.3,tt0100668,6.2,6.2,6.4,6.3,6.1,105.0,102.0
655,6.0,tt0100670,6.9,5.8,6.0,5.7,6.9,318.0,130.0
291,3.3,tt0100672,2.0,3.3,3.2,3.3,2.1,113.0,119.0
155,5.9,tt0100674,7.0,5.8,5.7,5.8,5.7,5.0,97.0
120,5.2,tt0100678,7.0,5.7,4.8,5.1,5.6,18.0,68.0
6595,6.3,tt0100680,6.7,6.3,6.2,6.2,6.7,1572.0,3155.0
3238,7.7,tt0100681,8.0,7.7,7.6,7.7,7.9,324.0,1994.0
489,5.7,tt0100683,5.8,5.7,5.6,5.7,5.2,16.0,312.0
227,5.0,tt0100684,4.8,5.4,4.1,4.9,6.4,77.0,90.0
19715,7.2,tt0100685,7.3,7.2,7.2,7.2,7.2,4273.0,10274.0
314,7.0,tt0100686,7.5,6.8,6.9,6.9,6.8,23.0,200.0
607,4.9,tt0100688,4.7,5.0,4.7,4.8,5.0,282.0,208.0
2225,6.2,tt0100691,6.4,6.2,6.0,5.9,6.6,723.0,770.0
353,5.4,tt0100694,5.7,5.4,5.4,5.4,5.4,90.0,191.0
349,6.8,tt0100698,7.3,6.7,6.4,6.8,6.5,8.0,255.0
776,7.0,tt0100699,6.8,6.9,7.0,7.0,6.5,23.0,473.0
102,5.3,tt0100705,4.7,5.9,4.6,5.3,3.7,47.0,29.0
225,5.7,tt0100706,5.7,5.8,5.6,5.4,9.2,88.0,92.0
645,5.9,tt0100707,6.3,5.9,5.8,5.8,5.7,297.0,168.0
158,4.7,tt0100708,5.9,4.7,4.5,4.6,4.9,62.0,51.0
111,6.0,tt0100709,9.8,6.4,5.2,5.6,6.3,11.0,67.0
427,7.0,tt0100712,7.4,7.1,6.5,7.0,7.3,13.0,288.0
150,7.0,tt0100714,7.5,6.8,7.2,7.0,7.3,8.0,104.0
576,4.3,tt0100728,4.2,4.4,4.1,4.2,4.4,169.0,276.0
298,7.4,tt0100732,7.2,7.8,5.6,7.3,7.3,31.0,196.0
14051,6.3,tt0100740,6.4,6.2,6.2,6.2,6.6,5401.0,4646.0
522,6.3,tt0100746,6.1,5.8,6.7,6.2,6.6,72.0,282.0
3128,7.1,tt0100747,7.3,7.1,7.3,7.1,7.6,357.0,1887.0
1485,7.4,tt0100757,7.3,7.6,6.9,7.4,7.5,175.0,907.0
79951,6.8,tt0100758,6.7,6.8,5.8,6.7,6.7,25441.0,30215.0
172,4.9,tt0100760,6.7,4.5,5.8,5.0,6.1,35.0,81.0
