imdb_title_id,total_votes,weighted_average_vote,allgenders_18age_avg_vote,allgenders_30age_avg_vote,allgenders_45age_avg_vote,males_allages_avg_vote,females_allages_avg_vote,us_voters_votes,non_us_voters_votes
tt0339559,125,6.6,7.5,7.6,3.4,6,7.5,5,96
tt0339572,163,4.8,5.3,4.9,4.7,4.8,5.3,10,131
tt0339579,10863,6.4,6.3,6.5,6.5,6.4,6.6,2343,5720
tt0339607,293,4.2,5,4.3,4.2,4.3,3.9,69,146
tt0339638,113,5.2,1,3.9,5.7,5,6.2,86,8
tt0339642,2182,5.1,5.1,5.1,5.3,5,5.6,689,1016
tt0339643,103,6.7,6.2,6.4,7.1,6.6,6.5,10,67
tt0339653,118,5.1,4.2,5.2,5.2,5.1,3.5,41,50
tt0339707,3606,7.6,7.6,7.5,7.5,7.5,7.7,288,2428
tt0339714,544,2,2.2,2,2,2.1,1.3,178,255
tt0339716,106,6.1,6.7,6.2,6.1,6.2,5.9,12,65
tt0339727,1803,5.9,6.2,6,5.9,5.9,5.9,804,569
tt0339736,2577,5.5,6,5.4,5.5,5.5,5.8,545,1058
tt0339743,368,5.3,4.4,5.1,5.6,5.3,5.4,170,97
tt0339748,111,6.7,7.2,6.8,6,6.5,7.2,16,73
tt0339806,3532,6.6,6.7,6.5,6.6,6.5,6.9,439,2240
tt0339824,1290,5.5,5.6,5.6,5.5,5.5,5.7,134,825
tt0339827,1293,6.3,6.3,6.1,6.5,6.4,6,436,522
tt0339840,12332,5.4,5,5.4,5.8,5.5,5.4,3329,6046
tt0339862,836,7.1,7,7.1,7.1,7.1,6.9,61,576
tt0339865,138,7.7,8.9,8.7,3,7.7,8,4,96
tt0339918,581,2.7,3.2,2.4,2.8,2.7,2.6,219,233
tt0339921,100,5.7,4.8,6.2,5.5,5.7,6.4,69,8
tt0339935,104,5.1,5.5,5.1,4.9,4.7,6.1,6,64
tt0339988,748,4.3,4.4,4.2,4.3,4.1,5.1,20,491
tt0340012,11639,7,6.9,7,7,6.9,7.2,2880,5908
tt0340044,135,5.2,5.9,5.1,4.7,5.1,5.1,20,82
tt0340074,522,7.4,7.7,7.5,4.5,7.4,7.4,23,265
tt0340084,216,2.3,1.8,2,2.7,2.4,1.4,99,91
tt0340086,1075,6.8,7.2,7,6.2,6.8,7,42,762
tt0340096,516,5.5,6.5,5.5,5.2,5.4,5.6,48,314
tt0340099,219,7,7.7,6.8,7.2,6.9,7.2,5,150
tt0340103,237,1.8,1.5,1.7,1.9,1.8,1.4,106,78
tt0340109,170,5.3,4,5.6,5.8,5.4,5.6,22,111
tt0340110,3325,5.8,6,5.7,5.3,5.8,5.2,209,2333
tt0340137,2120,5.7,5.6,5.6,5.9,5.8,5,462,1116
tt0340147,121,6.3,8.8,7.9,5.4,5.5,8.5,47,36
tt0340149,430,6.1,6.1,6.3,5.7,6,6.7,80,250
tt0340163,103404,6.6,6.7,6.5,6.5,6.5,6.8,18913,57125
tt0340178,402,4.1,3.9,4,4.7,4.2,3,42,213
tt0340181,803,6.2,5.9,6.4,6.1,6.2,6.7,26,573
tt0340195,292,6.9,6.6,7.1,6,6.8,6.9,53,174
tt0340253,423,6.7,7,6.7,6.6,6.7,6.4,5,329
tt0340285,1235,6.6,6.2,6.6,6.8,6.6,6.5,26,874
tt0340312,159,3.2,3,3.3,2.5,3.1,3.2,54,69
tt0340376,4695,6.2,6.3,6,6.4,6.2,6.3,963,2686
tt0340377,64913,7.6,7.6,7.6,7.8,7.6,7.7,16799,31353
tt0340378,117,6.5,10,7.5,5.6,6.3,7.3,67,24
tt0340407,235,6.4,7.2,6.3,6,6.2,7.2,8,147
tt0340453,136,6.6,7,7.4,4.2,6.5,5.7,8,108
tt0340855,127106,7.3,7.4,7.2,7.3,7.2,7.5,23684,65593
tt0340883,191,5.8,8.7,5.3,5.5,5.3,6.3,135,18
tt0340919,869,5.6,5.6,5.4,5.8,5.6,5.3,257,444
tt0340951,112,5,5.1,4.2,5.5,4.7,5.1,70,19
tt0341216,267,6.3,4.8,6.3,6.2,6.2,6.2,9,188
tt0341266,3021,6.5,6.5,6.5,5.9,6.5,6.5,302,1781
tt0341284,122,4,3,4.2,4.1,4,4.6,9,83
tt0341341,407,1.5,,5,3.3,4.5,5.6,2,167
tt0341372,159,5.6,6.5,5.2,5.9,5.7,5.1,23,98
tt0341376,2793,6.7,6.8,6.8,6.6,6.6,7.2,267,1871
tt0341384,3102,6.5,6.6,6.5,6.2,6.5,6.3,380,1984
tt0341455,1518,7.4,7.5,7.4,5,7.4,7.4,93,891
tt0341470,356,5.8,5.1,5.8,6.1,5.7,6.3,52,225
tt0341476,314,5.4,5.1,5.7,5,5.5,4.3,41,195
tt0341495,6746,5.6,5.7,5.5,5.5,5.5,6,857,4117
tt0341521,133,6,5.7,6.1,5.9,6,6.4,23,77
tt0341535,413,6.5,6.2,6.7,5.9,6.6,6.1,113,197
tt0341540,717,6.1,6.7,5.7,5.7,5.7,7.3,405,74
tt0341549,800,4.6,4.5,4.4,5.5,4.5,3.7,60,456
tt0341555,5660,6.6,6.6,6.7,6.3,6.7,6.1,651,3622
tt0341562,499,6.9,6.9,6.8,7.2,6.8,7.4,56,294
tt0341569,851,5.7,6.5,5.7,5.3,5.7,5.9,403,293
tt0341573,202,4.1,3.7,4.1,4.2,4.2,4.5,108,40
tt0341578,2678,6.1,6.1,6.1,6.3,6.1,6.2,81,1949
tt0342012,1469,7.7,7.8,7.7,6.4,7.6,8,51,1078
tt0342080,213,6.6,6.9,6.6,4,6.4,6.6,14,125
tt0342097,281,6.1,5.4,5.8,6.3,6,6,19,193
tt0342151,208,5.7,5.8,5.8,5.8,5.7,5.7,15,130
